team,phase,unit,rusher_group,dropbacks,sacks,sack_rate,epa_per_dropback,qb_fault_sack_known,qb_fault_sacks
NE,REG,offense,0_or_unknown,2,1,0.5,-1.109668,1,0
NE,REG,offense,1_to_3,14,1,0.071429,-0.201309,1,0
NE,REG,offense,4,409,30,0.07335,0.302165,30,10
NE,REG,offense,5_plus,188,16,0.085106,0.362237,16,3
NE,REG,defense,0_or_unknown,3,0,0.0,0.995008,0,0
NE,REG,defense,1_to_3,19,0,0.0,0.128031,0,0
NE,REG,defense,4,403,21,0.052109,-0.019115,21,9
NE,REG,defense,5_plus,164,14,0.085366,-0.123067,14,4
NE,POST,offense,0_or_unknown,1,0,0.0,-0.329788,0,0
NE,POST,offense,1_to_3,11,0,0.0,-0.182833,0,0
NE,POST,offense,4,109,16,0.146789,-0.106621,16,10
NE,POST,offense,5_plus,34,5,0.147059,-0.38115,5,2
NE,POST,defense,0_or_unknown,0,0,,,0,0
NE,POST,defense,1_to_3,7,1,0.142857,-0.782711,1,0
NE,POST,defense,4,89,8,0.089888,-0.145912,8,3
NE,POST,defense,5_plus,77,4,0.051948,-0.388626,4,1
NE,SB,offense,0_or_unknown,0,0,,,0,0
NE,SB,offense,1_to_3,0,0,,,0,0
NE,SB,offense,4,45,5,0.111111,-0.06972,5,5
NE,SB,offense,5_plus,8,1,0.125,-1.716706,1,1
NE,SB,defense,0_or_unknown,0,0,,,0,0
NE,SB,defense,1_to_3,1,0,0.0,-0.972203,0,0
NE,SB,defense,4,16,1,0.0625,-0.072963,1,1
NE,SB,defense,5_plus,23,0,0.0,0.143162,0,0
SEA,REG,offense,0_or_unknown,2,0,0.0,0.854529,0,0
SEA,REG,offense,1_to_3,12,1,0.083333,-0.384812,1,0
SEA,REG,offense,4,339,16,0.047198,0.146468,16,10
SEA,REG,offense,5_plus,165,10,0.060606,0.085349,10,4
SEA,REG,defense,0_or_unknown,1,0,0.0,-0.094862,0,0
SEA,REG,defense,1_to_3,13,1,0.076923,0.180132,1,0
SEA,REG,defense,4,522,27,0.051724,0.004821,27,12
SEA,REG,defense,5_plus,153,19,0.124183,-0.383978,19,10
SEA,POST,offense,0_or_unknown,0,0,,,0,0
SEA,POST,offense,1_to_3,2,0,0.0,-0.326543,0,0
SEA,POST,offense,4,57,3,0.052632,0.348208,3,1
SEA,POST,offense,5_plus,40,3,0.075,0.156794,3,0
SEA,POST,defense,0_or_unknown,1,0,0.0,-0.263305,0,0
SEA,POST,defense,1_to_3,5,0,0.0,-0.604568,0,0
SEA,POST,defense,4,105,8,0.07619,-0.06868,8,5
SEA,POST,defense,5_plus,17,1,0.058824,-0.402685,1,1
SEA,SB,offense,0_or_unknown,0,0,,,0,0
SEA,SB,offense,1_to_3,1,0,0.0,-0.972203,0,0
SEA,SB,offense,4,16,1,0.0625,-0.072963,1,1
SEA,SB,offense,5_plus,23,0,0.0,0.143162,0,0
SEA,SB,defense,0_or_unknown,0,0,,,0,0
SEA,SB,defense,1_to_3,0,0,,,0,0
SEA,SB,defense,4,45,5,0.111111,-0.06972,5,5
SEA,SB,defense,5_plus,8,1,0.125,-1.716706,1,1
